ticker,name,cik,sector,industry
TSN,Tyson Foods,100493,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bancorp,36104,Financials,Diversified Banks
UBER,Uber,1543151,Industrials,Passenger Ground Transportation
UDR,"UDR, Inc.",74208,Real Estate,Multi-Family Residential REITs
ULTA,Ulta Beauty,1403568,Consumer Discretionary,Other Specialty Retail
UNP,Union Pacific Corporation,100885,Industrials,Rail Transportation
UAL,United Airlines Holdings,100517,Industrials,Passenger Airlines
UPS,United Parcel Service,1090727,Industrials,Air Freight & Logistics
URI,United Rentals,1067701,Industrials,Trading Companies & Distributors
UNH,UnitedHealth Group,731766,Health Care,Managed Health Care
UHS,Universal Health Services,352915,Health Care,Health Care Facilities
VLO,Valero Energy,1035002,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,740260,Real Estate,Health Care REITs
VLTO,Veralto,1967680,Industrials,Environmental & Facilities Services
VRSN,Verisign,1014473,Information Technology,Internet Services & Infrastructure
VRSK,Verisk Analytics,1442145,Industrials,Research & Consulting Services
VZ,Verizon,732712,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,875320,Health Care,Biotechnology
VTRS,Viatris,1792044,Health Care,Pharmaceuticals
VICI,Vici Properties,1705696,Real Estate,Hotel & Resort REITs
V,Visa Inc.,1403161,Financials,Transaction & Payment Processing Services
VST,Vistra Corp.,1692819,Utilities,Electric Utilities
VMC,Vulcan Materials Company,1396009,Materials,Construction Materials
WRB,W. R. Berkley Corporation,11544,Financials,Property & Casualty Insurance
GWW,W. W. Grainger,277135,Industrials,Industrial Machinery & Supplies & Components
WAB,Wabtec,943452,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,1618921,Consumer Staples,Drug Retail
WMT,Walmart,104169,Consumer Staples,Consumer Staples Merchandise Retail
DIS,Walt Disney Company (The),1744489,Communication Services,Movies & Entertainment
WBD,Warner Bros. Discovery,1437107,Communication Services,Broadcasting
WM,Waste Management,823768,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,1000697,Health Care,Life Sciences Tools & Services
WEC,WEC Energy Group,783325,Utilities,Electric Utilities
WFC,Wells Fargo,72971,Financials,Diversified Banks
WELL,Welltower,766704,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,105770,Health Care,Health Care Supplies
WDC,Western Digital,106040,Information Technology,"Technology Hardware, Storage & Peripherals"
WY,Weyerhaeuser,106535,Real Estate,Timber REITs
WSM,"Williams-Sonoma, Inc.",719955,Consumer Discretionary,Homefurnishing Retail
WMB,Williams Companies,107263,Energy,Oil & Gas Storage & Transportation
WTW,Willis Towers Watson,1140536,Financials,Insurance Brokers
WDAY,"Workday, Inc.",1327811,Information Technology,Application Software
WYNN,Wynn Resorts,1174922,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,72903,Utilities,Multi-Utilities
XYL,Xylem Inc.,1524472,Industrials,Industrial Machinery & Supplies & Components
YUM,Yum! Brands,1041061,Consumer Discretionary,Restaurants
ZBRA,Zebra Technologies,877212,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet,1136869,Health Care,Health Care Equipment
ZTS,Zoetis,1555280,Health Care,Pharmaceuticals
